Location,Week,Model,Surface Temperature,Middle Temperature,Bottom Temperature,pH,Ammonia,Nitrate,Phosphate,Dissolved Oxygen,WQI,WQI_Status,Ammonia_Level,Nitrate_Level,Phosphate_Level
TANAUAN,Week 1,CNN,0.25610268,0.4557902,0.18491206,0.43920648,0.03567522,0.057773087,0.5282001,0.19521321,73.17486197340966,Poor,Low,Low,High
TANAUAN,Week 1,LSTM,0.27699128,0.5333211,0.18964458,0.4191061,0.009080835,0.050038114,0.5755078,0.20572013,73.17473492554396,Poor,Low,Low,High
TANAUAN,Week 1,CNN-LSTM,0.34733462,0.61326414,0.22935091,0.38391075,0.038453195,0.08781114,0.54804677,0.22126913,73.17535535205798,Poor,Low,Low,High
TANAUAN,Week 2,CNN,0.21083118,0.5014516,0.20235918,0.4585681,-0.03538535,0.10128405,0.54978275,0.2198001,73.17557664623189,Poor,Low,Low,High
TANAUAN,Week 2,LSTM,0.25855356,0.538555,0.20151198,0.46748763,0.009496822,0.059697118,0.57996184,0.19984075,73.1748935758512,Poor,Low,Low,High
TANAUAN,Week 2,CNN-LSTM,0.29085684,0.56408334,0.21329771,0.47345486,0.028276302,0.08779284,0.555345,0.18959756,73.17535505147826,Poor,Low,Low,High
TANAUAN,Week 3,CNN,0.19181803,0.49223974,0.20197919,0.48881036,-0.023137018,0.16224465,0.5772339,0.2143592,73.17657793144927,Poor,Low,Low,High
TANAUAN,Week 3,LSTM,0.24482585,0.52929264,0.20982373,0.49217883,0.012679819,0.06961047,0.5816377,0.19632155,73.17505640385507,Poor,Low,Low,High
TANAUAN,Week 3,CNN-LSTM,0.26191825,0.5525741,0.20670311,0.49160922,0.026134552,0.08633628,0.54140824,0.18815109,73.17533112730435,Poor,Low,Low,High
TANAUAN,Week 4,CNN,0.22660397,0.49891236,0.16619694,0.4281723,-0.020257102,0.114172235,0.57343495,0.24809465,73.17578833622706,Poor,Low,Low,High
TANAUAN,Week 4,LSTM,0.2317175,0.5269357,0.20998454,0.5081007,0.01558911,0.08023915,0.58678716,0.19660279,73.17523098120773,Poor,Low,Low,High
TANAUAN,Week 4,CNN-LSTM,0.25151435,0.54263794,0.2197955,0.5022962,0.014856872,0.08327466,0.5553672,0.18864459,73.17528083982609,Poor,Low,Low,High
TANAUAN,Week 5,CNN,0.23406143,0.47588342,0.2168015,0.40951574,-0.0039373003,0.12878938,0.5390242,0.21564728,73.17602842459904,Poor,Low,Low,High
TANAUAN,Week 5,LSTM,0.23108971,0.5264546,0.20999002,0.5075172,0.01789954,0.089323185,0.58571815,0.2045094,73.1753801875797,Poor,Low,Low,High
TANAUAN,Week 5,CNN-LSTM,0.23307481,0.5347563,0.20013016,0.48101202,0.012741875,0.08115926,0.5582619,0.20342462,73.1752460941256,Poor,Low,Low,High
TANAUAN,Week 6,CNN,0.25455746,0.41833183,0.19328806,0.3885217,0.008327631,0.13821037,0.55338687,0.14410925,73.17618316549758,Poor,Low,Low,High
TANAUAN,Week 6,LSTM,0.23329727,0.5279787,0.21173868,0.49753696,0.019162873,0.09541108,0.5783999,0.2103619,73.17548018199034,Poor,Low,Low,High
TANAUAN,Week 6,CNN-LSTM,0.23190348,0.52336603,0.20514028,0.4822177,0.00672427,0.08210055,0.563163,0.20738189,73.17526155492753,Poor,Low,Low,High
TANAUAN,Week 7,CNN,0.26528043,0.45363352,0.18696454,0.44012514,0.0031968192,0.11821956,0.54631287,0.12968585,73.17585481402898,Poor,Low,Low,High
