Location,Year,Model,Surface Temperature,Middle Temperature,Bottom Temperature,pH,Ammonia,Nitrate,Phosphate,Dissolved Oxygen,WQI,WQI_Status,Ammonia_Level,Nitrate_Level,Phosphate_Level
TANAUAN,Year 1,CNN,0.35469496,0.570841,0.29160124,0.27583057,0.0035447618,0.035309706,0.45569915,0.40820557,65.80706904227246,Poor,Low,Low,Moderate
TANAUAN,Year 1,LSTM,0.39063263,0.59121597,0.30091178,0.28667465,0.04977853,0.073019475,0.51042527,0.32802653,73.1751123971739,Poor,Low,Low,High
TANAUAN,Year 1,CNN-LSTM,0.39560425,0.57668424,0.25319308,0.38804597,0.006491798,0.11449102,0.5404255,0.32977033,73.17579357230917,Poor,Low,Low,High
TANAUAN,Year 2,CNN,0.40018842,0.6483828,0.3300882,0.38290542,0.13541572,0.16356668,0.5308494,0.37992987,73.17659964595168,Poor,Low,Low,High
TANAUAN,Year 2,LSTM,0.38179988,0.58300644,0.28983948,0.28268507,0.046499334,0.07478478,0.50698787,0.32971987,73.17514139252174,Poor,Low,Low,High
TANAUAN,Year 2,CNN-LSTM,0.39238137,0.57755125,0.26342648,0.35759768,0.015192328,0.09663409,0.53050625,0.34197873,73.1755002700773,Poor,Low,Low,High
TANAUAN,Year 3,CNN,0.39932498,0.6766195,0.34004042,0.3115182,0.065020695,0.09892057,0.44456598,0.30737323,63.956619282309184,Poor,Low,Low,Moderate
TANAUAN,Year 3,LSTM,0.38360307,0.59094566,0.30006465,0.30175918,0.053993024,0.07812758,0.52638024,0.3447417,73.17519629841546,Poor,Low,Low,High
TANAUAN,Year 3,CNN-LSTM,0.40283164,0.60169894,0.28953332,0.37039334,0.0175004,0.116137765,0.5524174,0.35039052,73.17582062029469,Poor,Low,Low,High
AYA,Year 1,CNN,0.39292637,0.59234464,0.30730373,0.7067686,0.03984043,0.10815441,0.6145689,0.29149342,73.17568949272464,Poor,Low,Low,High
AYA,Year 1,LSTM,0.39536613,0.57347786,0.24967915,0.64583653,0.007255869,0.086036086,0.6065387,0.30789113,73.17532619658164,Poor,Low,Low,High
AYA,Year 1,CNN-LSTM,0.40941125,0.58916235,0.2762377,0.7218974,0.0011895671,0.12160917,0.6186771,0.35516956,73.1759104887826,Poor,Low,Low,High
AYA,Year 2,CNN,0.42190707,0.6095664,0.27980152,0.6423052,0.030343615,0.11197971,0.59976965,0.31585234,73.17575232373913,Poor,Low,Low,High
